grid_scope,cutoff,treatment_year,candidate_cells,support_cells,successful_cells,positive_ci_cells,strong_positive_cells,median_tau,max_tau,max_robust_wald,max_effective_n
prov_subset,ab,2007,1023,992,992,9,0,-.1611271846361584,.1217097474717403,8.00996637281678,180
prov_subset,ab,2008,1023,994,994,102,0,.1528397839110154,.6018085970246558,13.16852290567639,289
prov_subset,ab,2009,1023,994,994,42,0,.1900978581510917,.6940764435565246,17.14477229259372,258
prov_subset,ab,2010,1023,994,994,10,0,-.0470071406255112,.519412053136473,15.24184653211443,193
prov_subset,ab,2011,1023,994,994,2,0,-.1375807637129271,.4738663511172763,26.06385031681841,185
prov_subset,ab,2012,1023,994,994,0,0,-.1130261806612005,.4726915704880668,24.49747785844565,171
prov_subset,ab,2013,1023,994,994,0,0,-.1131550232507743,.7002430113394942,45.80683612234263,171
prov_subset,ab,2014,1023,994,994,0,0,-.1869010479388807,.6266536210867502,44.12268193031832,138
prov_subset,ab,2015,1023,994,994,1,0,-.1865911630942451,.6266536210867502,44.87213612093935,138
prov_subset,ab,2016,1023,994,994,3,0,-.1689652616418977,.6268095263180875,13.40293762909822,134
prov_subset,ab,2017,1023,994,994,18,0,-.1403244122210002,.9835139649115923,372.6322073311287,144
prov_subset,ab,2018,1023,994,994,23,0,-.0417023682485714,.9306957398117159,372.6322073311287,156
prov_subset,ab,2019,1023,994,994,36,0,.0058417630802622,.6095473432242415,223.5975371931387,220
prov_subset,ab,2020,1023,994,994,34,0,.006545430939233,.6100375563520868,296.5432684962865,230
prov_subset,ab,2021,1023,994,994,23,0,-.0165271120071179,.6098386014422101,296.5432684962865,247
prov_subset,ab,2022,1023,990,990,50,0,.0338289826161731,.6367667527478829,7.143713820700662,242
prov_subset,ab,2023,1023,990,990,17,0,.014823265720692,.6953887812111459,10.22441058054905,267
prov_subset,bc,2007,1023,1009,1007,0,0,-.0502200216741505,4.13336968146973,2.938707835466544,237
prov_subset,bc,2008,1023,1011,1009,14,2,-.0780573599609707,2.54970409074101,50.4078421680562,237
prov_subset,bc,2009,1023,1011,1009,19,6,-.1020867336818696,2.267870652716073,32.07372837626642,122
prov_subset,bc,2010,1023,1011,1010,18,9,-.1468958052554671,7.521138625830798,28.99009692566295,117
prov_subset,bc,2011,1023,1011,1009,16,0,-.0990076498471609,2.213454072906873,39.86560807617638,119
prov_subset,bc,2012,1023,1011,1007,8,0,-.0794012092940554,4.857140828256715,36.98328504247154,119
prov_subset,bc,2013,1023,1011,1007,8,0,-.0022544943089701,4.845615310510462,47.10382520579015,120
prov_subset,bc,2014,1023,1011,1007,9,0,-.0013587682454649,4.845612357859673,47.10382520579015,120
prov_subset,bc,2015,1023,1011,1007,9,0,-.0019394957917619,4.850590678669096,47.10382520579015,120
prov_subset,bc,2016,1023,1011,1009,50,0,.0649167119124093,4.850606834710557,47.10382520579015,120
prov_subset,bc,2017,1023,1010,1008,329,9,.3655189127234722,5.915064740247855,27.32705967635335,153
prov_subset,bc,2018,1023,1010,1008,341,26,.3604833602819211,1.98438985070871,34.08448612208208,179
prov_subset,bc,2019,1023,1010,1009,6,1,-.0047489324272885,9.550000000000068,26.99686672459537,75
prov_subset,bc,2020,1023,1009,1008,2,0,.0460280249581425,9.550000000000182,15.1670488420863,96
prov_subset,bc,2021,1023,1009,1009,2,0,.0397326281165384,9.550000000000411,10.4691203459511,89
prov_subset,bc,2022,1023,1006,1000,1,0,-.0805477485178964,1.165253972880075,11.45984228627254,108
prov_subset,bc,2023,1023,1006,1002,1,0,-.05009049188695,1.036647169727941,11.45984228627254,112
prov_subset,cd,2007,1023,765,765,0,0,-.09782675735978,.0556852941272621,2.364881340032723,109
prov_subset,cd,2008,1023,996,996,4,0,-.1188004907653321,.3787488132251143,51.53825730822424,169
prov_subset,cd,2009,1023,1005,1005,1,0,-.3012953664955141,3.573561412953129,78.42647663006071,142
prov_subset,cd,2010,1023,1005,1002,3,0,-.3086623298466249,.9634214006676256,106.0181607816937,153
prov_subset,cd,2011,1023,1005,1004,4,0,-.2668338705016007,2.242403234893072,94.84658717008962,148
prov_subset,cd,2012,1023,1005,1003,4,0,-.2521180347750874,.8327327745013808,93.57757472298063,155
prov_subset,cd,2013,1023,1005,1003,4,0,-.2530020508026472,.8327327745013808,93.57757472298063,155
prov_subset,cd,2014,1023,1005,1003,4,0,-.2530769249213698,.8327327745013808,93.57757472298063,155
prov_subset,cd,2015,1023,1005,1003,4,0,-.2530769249213698,.8327327745013808,93.57757472298063,155
prov_subset,cd,2016,1023,1005,1003,4,0,-.2530769249213698,.8327327745013808,93.57757472298063,155
prov_subset,cd,2017,1023,1005,1003,4,0,-.2530769249213698,.8327327745013808,93.57757472298063,155
prov_subset,cd,2018,1023,1005,1003,4,0,-.2537118879737639,.8327344147968065,93.06821013585962,155
prov_subset,cd,2019,1023,1005,1005,63,0,.1542579452196491,3.122685394208021,65.95744650201425,157
prov_subset,cd,2020,1023,1004,1004,281,3,.3323204920944781,3.433046306367928,89.30077878695633,114
prov_subset,cd,2021,1023,1004,1004,124,0,.1875932804973424,2.440831674447299,32.32940239800315,125
prov_subset,cd,2022,1023,1004,1002,82,0,.1140532557220323,.8631758559990699,143.1290083585174,143
prov_subset,cd,2023,1023,1004,1001,145,0,.1143071199082839,.892512138358001,509.2836598781411,132
prov_subset,de,2007,1023,0,0,0,0,,,,
prov_subset,de,2008,1023,0,0,0,0,,,,
prov_subset,de,2009,1023,734,730,0,0,-.1295581136778954,0,5.786421477560904,265
prov_subset,de,2010,1023,858,855,0,0,-.1342122877392195,.0225327014219727,3.419895457535275,192
prov_subset,de,2011,1023,938,794,0,0,-.0902174703898173,.3059178504258236,4.159794349332645,149
prov_subset,de,2012,1023,938,823,0,0,-.1220187964744628,.3059178504258236,4.271651103601796,157
prov_subset,de,2013,1023,938,823,0,0,-.1220187964744628,.3059178504258236,4.271651103601796,157
prov_subset,de,2014,1023,938,823,0,0,-.1220187964744628,.3059178504258236,4.271651103601796,157
prov_subset,de,2015,1023,938,823,0,0,-.1220187964744628,.3059178504258236,4.271651103601796,157
prov_subset,de,2016,1023,938,823,0,0,-.1220187964744628,.3059178504258236,4.271651103601796,157
prov_subset,de,2017,1023,938,823,0,0,-.1220187964744628,.3059178504258236,4.271651103601796,157
prov_subset,de,2018,1023,938,823,0,0,-.1220187964744628,.3059178504258236,4.271651103601796,157
prov_subset,de,2019,1023,938,823,0,0,-.1218772206101246,.3059178504258236,4.656852708055026,157
prov_subset,de,2020,1023,938,834,0,0,-.1235361135262359,.3026395739996125,3.254996068403808,142
prov_subset,de,2021,1023,938,837,0,0,-.227264640405079,.1496666250334775,5.366774723636514,87
prov_subset,de,2022,1023,953,912,12,0,.0148587794979613,2.118289345690227,13.65795264609027,97
prov_subset,de,2023,1023,957,927,31,0,.3319071275513676,2.63333333333331,11.51512904022585,88
